Date,Year-Q,TCP,ESP,GRE,ICMP,UDP,unknown,ENCAP,Compaq-Peer
12/20/2012,2012,91.12739062,0.035976644,0.130231774,0.085472201,8.60410183,0.01267398,0.002890229,0.000548738
1/17/2013,2013,88.44678513,0.104908931,0.097445994,0.164446057,11.14289593,0.018603866,0.019031678,0.002757009
2/21/2013,2013,89.53021655,0.082861144,0.089729131,0.220624279,10.00776329,0.019372859,0.039447709,0.009419254
3/21/2013,2013,94.65616355,0.019147528,0.03637778,0.060775391,5.206672769,0.018141238,0.001864018,0.000210228
4/25/2013,2013,88.27034039,0.646434533,0.095708276,0.134577057,10.80276231,0.025440117,0.018818717,0.003461715
5/29/2013,2013,87.85274882,0.106134636,0.042359885,0.118218583,11.85676662,0.009932916,0.010153158,0.001167283
6/20/2013,2013,90.5349465,0.061648601,0.062246928,0.128334284,9.195006053,0.00825831,0.007207759,0.000480053
7/18/2013,2013,89.03420351,0.054779503,0.028285601,0.255665332,10.50542967,0.011836819,0.020189781,0.000970503
8/15/2013,2013,84.39802313,0.214366136,0.156777636,0.265656062,14.88185773,0.027490542,0.037898748,0.000461395
9/19/2013,2013,86.413241,0.073400311,0.015355357,0.575527109,12.75174628,0.020040685,0.018399871,0.0009769
10/24/2013,2013,78.4464831,0.05694433,0.021295378,0.333167409,21.12077524,0.01151419,0.008753135,0.000391639
11/21/2013,2013,87.24225271,0.157392012,0.056423394,0.232715153,12.2909879,0.015188342,0.00230709,0.000309284
12/19/2013,2013,86.62965918,0.07210298,0.066892553,0.56302204,12.6345855,0.018671443,0.010698863,0.000493242
3/20/2014,2014,77.74350882,0.122468908,0.033914256,0.291971535,21.77768917,0.019332499,0.010297851,0.000803232
6/19/2014,2014,88.45618441,0.680795196,0.198508282,0.374579247,10.26654677,0.012701658,0.009034759,0.001487274
9/18/2014,2014,90.60646827,0.020378309,0.037540302,0.196174463,8.885648934,0.011356835,0.143217456,0.001616469
12/18/2014,2014,89.45456089,0.196145839,0.008167115,0.254666439,9.979019554,0.016209541,0.02827318,0.062817167
2/19/2015,2015,85.89096908,0.47779502,0.115563276,0.260771317,13.12906435,0.018538927,0.041808003,0.064914401
5/21/2015,2015,89.44038248,0.049179342,0.073619521,0.112153653,10.28318971,0.025524864,0.012891065,0.001759137
9/17/2015,2015,85.05965748,0.094493223,0.004689639,0.144731731,9.887179828,0.023288093,4.245944413,0.52245113
