Date,Year-Q,TCP,ESP,GRE,ICMP,UDP,unknown,ENCAP,Compaq-Peer
2008-03-19,2008-Q1,87.6338330558,0.651102115601,0.034829484174,0.477743698065,11.1916548382,0.0,0.0,0.0
2008-04-30,2008-Q2,88.1805896759,0.297260623348,0.00965640304116,0.305558110398,11.1939039929,0.0,0.0,0.0
2008-05-15,2008-Q2,87.6272309226,0.29894548324,0.038499880028,0.386087206038,11.5638659183,0.0,0.0,0.0
2008-06-19,2008-Q2,87.2868945074,0.245219449908,0.0145188964508,0.392575541733,11.9821754206,0.0,0.0,0.0
2008-07-17,2008-Q3,84.527948515,0.376979941487,0.00523342112335,0.415226080692,14.6197107257,0.0,0.0,0.0
2008-08-21,2008-Q3,83.1472548001,0.397848735404,0.351621194616,0.468824101588,15.6036535973,0.0,0.0,0.0
2008-09-18,2008-Q3,81.5353525526,0.583045979288,0.436712695751,0.342917032844,17.0364810125,0.0,0.0,0.0
2008-10-16,2008-Q4,86.2775333869,0.889306718383,0.0151101861049,0.359031161146,12.3195186814,0.0,0.0,0.0
2008-11-20,2008-Q4,83.2966796488,1.5025910164,0.270649126251,0.473305142554,14.4411788707,0.0,0.0,0.0
2008-12-18,2008-Q4,76.8484379785,0.673984549291,0.356405591905,0.414741711312,21.6943046855,0.0,0.0,0.0
2009-01-15,2009-Q1,88.6692858558,0.292780035266,0.20989730412,0.167704440915,10.6549915677,0.0,0.0,0.0
2009-02-19,2009-Q1,80.3338118006,1.08211460961,0.561850508309,0.794324047281,17.1761330323,0.0,0.0,0.0
2009-03-31,2009-Q1,88.1666271213,0.60620260719,0.137741455972,0.44377153287,10.6369125478,0.0,0.0,0.0
2009-04-16,2009-Q2,79.5580270633,0.833942752016,0.204755121984,0.481254960817,18.9086744698,0.0,0.0,0.0
2009-05-21,2009-Q2,87.2639458439,0.391427455575,0.170035149385,0.40008461889,11.7588198919,0.0,0.0,0.0
2009-06-18,2009-Q2,87.9325990413,0.238357202089,0.199165569601,0.401592603791,11.2028065173,0.0,0.0,0.0
2009-07-16,2009-Q3,89.2949125743,0.176460810723,0.000667353989543,0.495921613532,10.0205063913,0.0,0.0,0.0
2009-08-20,2009-Q3,87.3713816663,0.269876908538,0.0,0.457083535957,11.8991056986,0.0,0.0,0.0
2009-09-17,2009-Q3,83.2560580115,0.118029618172,0.0522047644879,0.553772078683,16.0013626782,0.0,0.0,0.0
2009-10-15,2009-Q4,86.6028457641,0.23360406398,0.0248820976903,0.386319736394,12.7236116724,0.0,0.0,0.0
2009-11-19,2009-Q4,83.9465645025,0.137148039747,0.0193598734606,0.593265909547,15.2890013451,0.0,0.0,0.0
2009-12-17,2009-Q4,73.0268792758,0.100011099084,0.0223572942264,0.859283906209,25.9756552139,0.0,0.0,0.0
2010-01-21,2010-Q1,77.7432208183,0.0997301400124,0.0034516199603,0.584057450964,21.5564171451,0.0,0.0,0.0
2010-02-25,2010-Q1,75.5865691833,0.0380146443115,0.000718660159736,0.590936902381,23.7652736968,0.0,0.0,0.0
2010-03-25,2010-Q1,85.6611867471,0.176639460761,0.012681606096,0.345505057723,13.7773675341,0.0,0.0,0.0
2010-04-14,2010-Q2,76.9450101441,0.134411530619,0.326144212198,0.174110192463,22.4010353052,0.0025312302548,0.00192245335808,0.0
2010-06-17,2010-Q2,84.7057142324,0.508853413797,0.0423374529426,0.25320449718,14.4828170172,0.00351909775098,0.000960984385844,0.0
2010-07-15,2010-Q3,84.7034779243,0.498233940236,0.145225342176,0.262781900061,14.3881368826,0.000165696376303,0.000371561571104,0.0
2010-08-19,2010-Q3,85.1809094416,0.110281398294,0.00125403596723,0.285182532312,14.3672195982,0.0456616625714,0.00403258624755,0.0
2010-09-16,2010-Q3,87.2241150367,1.38501977953,0.0,0.37334389094,10.9996174111,0.002504412028,0.00346354854936,0.0
2010-10-29,2010-Q4,73.9390813343,0.169455608223,0.0,0.6131820717,25.2584878644,0.00581284978272,0.00334790715334,0.0
2010-12-17,2010-Q4,82.644408942,0.235277228832,0.0572223513253,0.254044312161,16.7900947214,0.000778515992814,0.00119201349816,0.0
2011-01-20,2011-Q1,78.0158027806,0.118270493105,0.0166588640625,0.295862276234,21.5391918647,0.00170805625997,0.000460679074266,8.15047592932e-05
2011-02-17,2011-Q1,80.2121345333,0.0306262486844,0.0427782714742,0.335214631902,19.3733180182,0.0030921678736,0.0020877056981,0.0
2011-03-24,2011-Q1,84.7121011894,0.0424066639935,0.00358849621726,0.251537982672,14.9799122223,0.00422818467338,0.00255875382448,0.0
