Date,Year,unknown,GRE,ICMP,TCP,UDP,ESP,ENCAP,Compaq-Peer
2008-03-19,2008,0.0,0.034829484174,0.477743698065,87.6338330558,11.1916548382,0.651102115601,0.0,0.0
2008-04-30,2008,0.0,0.00965640304116,0.305558110398,88.1805896759,11.1939039929,0.297260623348,0.0,0.0
2008-05-15,2008,0.0,0.038499880028,0.386087206038,87.6272309226,11.5638659183,0.29894548324,0.0,0.0
2008-06-19,2008,0.0,0.0145188964508,0.392575541733,87.2868945074,11.9821754206,0.245219449908,0.0,0.0
2008-07-17,2008,0.0,0.00523342112335,0.415226080692,84.527948515,14.6197107257,0.376979941487,0.0,0.0
2008-08-21,2008,0.0,0.351621194616,0.468824101588,83.1472548001,15.6036535973,0.397848735404,0.0,0.0
2008-09-18,2008,0.0,0.436712695751,0.342917032844,81.5353525526,17.0364810125,0.583045979288,0.0,0.0
2008-10-16,2008,0.0,0.0151101861049,0.359031161146,86.2775333869,12.3195186814,0.889306718383,0.0,0.0
2008-11-20,2008,0.0,0.270649126251,0.473305142554,83.2966796488,14.4411788707,1.5025910164,0.0,0.0
2008-12-18,2008,0.0,0.356405591905,0.414741711312,76.8484379785,21.6943046855,0.673984549291,0.0,0.0
2009-01-15,2009,0.0,0.20989730412,0.167704440915,88.6692858558,10.6549915677,0.292780035266,0.0,0.0
2009-02-19,2009,0.0,0.561850508309,0.794324047281,80.3338118006,17.1761330323,1.08211460961,0.0,0.0
2009-03-31,2009,0.0,0.137741455972,0.44377153287,88.1666271213,10.6369125478,0.60620260719,0.0,0.0
2009-04-16,2009,0.0,0.204755121984,0.481254960817,79.5580270633,18.9086744698,0.833942752016,0.0,0.0
2009-05-21,2009,0.0,0.170035149385,0.40008461889,87.2639458439,11.7588198919,0.391427455575,0.0,0.0
2009-06-18,2009,0.0,0.199165569601,0.401592603791,87.9325990413,11.2028065173,0.238357202089,0.0,0.0
2009-07-16,2009,0.0,0.000667353989543,0.495921613532,89.2949125743,10.0205063913,0.176460810723,0.0,0.0
2009-08-20,2009,0.0,0.0,0.457083535957,87.3713816663,11.8991056986,0.269876908538,0.0,0.0
2009-09-17,2009,0.0,0.0522047644879,0.553772078683,83.2560580115,16.0013626782,0.118029618172,0.0,0.0
2009-10-15,2009,0.0,0.0248820976903,0.386319736394,86.6028457641,12.7236116724,0.23360406398,0.0,0.0
2009-11-19,2009,0.0,0.0193598734606,0.593265909547,83.9465645025,15.2890013451,0.137148039747,0.0,0.0
2009-12-17,2009,0.0,0.0223572942264,0.859283906209,73.0268792758,25.9756552139,0.100011099084,0.0,0.0
