,Date,0-100,101-200,201-300,301-400,401-500,501-600,601-700,701-800,801-900,901-1000,1001-1100,1101-1200,1201-1300,1301-1400,1401-1500,1501-65535
49,2008-03-19,38.1834937538,5.97287293202,1.47621215977,1.32464941443,0.724196081888,1.67153625575,0.645648838417,0.496749524222,0.378573389559,0.279943613724,0.581852905891,0.782747975683,0.974711179009,2.2337774158,44.2568796078,0.0161549522339
0,2008-04-30,52.9409191924,4.86807805541,1.60621170399,1.43520427567,1.2199465829,1.74708899496,1.5737237124,0.68000696197,1.04030868812,0.430182406124,0.901888245269,0.534188976437,1.66983777063,2.25283972945,27.0966948823,0.00287982196941
1,2008-05-15,56.3006671433,5.22096368435,1.4960631869,1.50617546585,1.06853740529,1.5122606435,1.34177672345,0.549931850958,0.715250790949,0.441170431973,0.957688226171,0.572293641979,1.70035694762,1.97926587032,24.6345108729,0.00308711451265
2,2008-06-19,54.8355762816,4.7145640635,1.37947504296,1.42056480477,0.949124673293,1.66282908107,1.60998715056,0.482704054096,0.682782156336,0.348359291892,0.649435805963,0.651106121484,1.59054296476,1.64157752821,27.378629949,0.00274103059838
3,2008-07-17,55.7892612927,7.18633050245,1.56334194368,1.45754498727,1.0239771297,1.45145586459,1.44516831836,0.42523406848,0.480755457981,0.43685424761,0.805884845637,0.861431038081,1.93099597833,1.47072775185,23.668742301,0.00229427229341
4,2008-08-21,39.6384572226,6.18000849709,2.39416500164,1.86509291786,1.14209218415,1.73895884003,1.05670969179,0.614404681331,0.662141540098,0.570397459556,1.5509551987,0.937785413901,1.98506498674,2.17341789173,37.4894753137,0.000873159162196
5,2008-09-18,31.5142605221,6.22260086102,1.73183365891,2.43906656859,1.219934931,2.00262163731,0.994856579213,0.579910903604,0.760919686167,0.575291966475,1.41802485546,1.03187501736,2.26690517043,2.38842561297,44.8526464223,0.000825607119679
6,2008-10-16,28.1531279399,6.45946002765,1.53058301668,3.13075172519,0.962295486916,1.58687174474,0.778634459633,0.557539588688,0.545793061403,0.444896436098,1.00828300984,0.68887995417,1.59137852199,2.00378148831,50.5534269902,0.00429654857071
7,2008-11-20,50.6362459989,7.70452047056,1.79579948775,1.65834817072,1.32504644988,1.73023245263,1.04973421878,0.707767944998,1.01346912631,0.420183556191,1.01748632812,0.740362417769,1.46405738644,1.37876667808,27.3022110994,0.0557682134417
8,2008-12-18,34.5341548111,7.60209280828,1.71384093005,2.36170133412,1.50707216737,2.22764366064,1.10423851713,0.669401952755,0.705159585579,0.539224434003,2.07661031021,1.15171187577,3.22274446355,2.68071026232,37.8990099417,0.00468294536525
