feature,model,MAE,model_selected
1001-1100,ARIMA_3_0_2,43.53516546,0
1001-1100,ARIMA_2_0_2,43.5452981064,0
1001-1100,ARIMA_0_0_1,34.9919900024,0
1001-1100,ARMA_3_0,35.0861771767,0
1001-1100,ARMA_2_0,34.9953811258,0
1001-1100,ARMA_1_0,34.9729968141,0
1001-1100,ARMA_2_1,43.6644423841,0
1101-1200,ARIMA_1_0_0,24.8789340576,0
1101-1200,ARIMA_2_0_0,25.0640584543,0
1101-1200,ARIMA_3_0_0,24.94058951,0
1101-1200,ARIMA_3_0_2,24.1288866821,1
1101-1200,ARIMA_2_0_2,25.154276952,0
1101-1200,ARIMA_0_0_1,27.3582966241,0
1101-1200,ARIMA_3_0_3,24.9232672538,0
1101-1200,ARMA_3_0,24.94058951,0
1101-1200,ARMA_2_0,25.0640584543,0
1101-1200,ARMA_1_0,24.8789340576,0
1101-1200,ARMA_2_1,25.0650862642,0
1101-1200,ARMA_2_3,24.8537034875,0
1201-1300,ARIMA_1_0_0,31.1560366709,0
1201-1300,ARIMA_2_0_0,29.3291115154,0
1201-1300,ARIMA_3_0_0,29.9090582133,0
1201-1300,ARIMA_2_0_2,29.5165554049,0
1201-1300,ARIMA_0_0_1,34.5722643695,0
1201-1300,ARIMA_1_0_6,28.9232184676,1
1201-1300,ARMA_3_0,29.9090582133,0
1201-1300,ARMA_2_0,29.3291115154,0
1201-1300,ARMA_1_0,31.1560366709,0
1201-1300,ARMA_2_1,29.7554164376,0
1301-1400,ARIMA_1_0_0,29.0379673168,0
1301-1400,ARIMA_2_0_0,29.0683392768,0
1301-1400,ARIMA_3_0_0,29.0027269549,0
1301-1400,ARIMA_3_0_2,27.3788630324,1
1301-1400,ARIMA_2_0_2,29.2208949096,0
1301-1400,ARIMA_0_0_1,29.5543888746,0
1301-1400,ARIMA_1_0_3,28.6281434162,0
1301-1400,ARMA_3_0,29.0027269549,0
1301-1400,ARMA_2_0,29.0683392768,0
1301-1400,ARMA_1_0,29.0379673168,0
1401-1500,ARIMA_1_0_0,24.6777058228,0
1401-1500,ARIMA_2_0_0,24.3763107207,0
1401-1500,ARIMA_3_0_0,24.2347317398,0
1401-1500,ARIMA_3_0_2,24.5111417249,0
1401-1500,ARIMA_2_0_2,24.2788546036,0
1401-1500,ARIMA_0_0_1,25.5272172682,0
1401-1500,ARIMA_3_0_3,23.4010542592,1
1401-1500,ARMA_3_0,24.2347317398,0
1401-1500,ARMA_2_0,24.3763107207,0
